price,hall_effect,hotswap,backlight,screen,knob,category_encoded,brand_encoded,layout_encoded,mount_encoded,case_material_encoded,connectivity_encoded
59.0,0,1,1,0,0,1,55,2,7,1,1
79.0,0,1,1,0,0,1,55,2,1,1,2
79.0,0,1,1,0,0,1,55,9,7,1,1
89.0,0,1,1,0,0,1,55,3,7,1,2
63.0,0,1,1,0,1,1,55,7,1,1,2
69.0,0,1,1,0,0,1,55,3,7,1,2
84.0,0,1,0,0,1,1,55,7,1,0,2
59.0,0,0,1,0,0,1,55,7,1,1,2
75.0,0,1,1,0,1,0,56,7,7,1,2
89.0,0,1,1,0,1,0,56,17,4,1,2
89.0,0,1,1,0,1,2,57,17,3,1,2
109.0,0,1,1,0,1,2,57,17,3,1,2
104.0,0,1,1,0,1,2,57,17,3,1,2
99.0,0,1,1,0,1,2,57,17,3,1,2
99.0,0,0,1,0,1,1,58,9,1,1,2
200.0,0,1,0,0,0,2,59,3,1,0,0
89.0,0,1,1,0,0,2,60,18,1,1,2
55.0,0,1,1,0,0,2,61,9,7,0,1
89.0,0,1,1,0,0,2,61,2,7,1,0
87.0,0,1,1,0,0,2,61,2,3,1,1
169.0,0,1,1,0,1,2,61,7,1,0,0
89.0,0,1,1,0,0,2,61,15,3,0,1
139.0,0,1,1,0,0,1,62,7,1,0,2
99.0,0,1,1,0,0,1,63,7,7,1,2
204.0,0,0,0,0,0,2,64,2,3,1,1
229.0,0,0,0,0,0,2,64,2,3,1,2
259.0,0,0,0,0,0,2,64,2,3,1,2
125.0,0,1,0,0,0,1,65,1,6,1,0
140.0,0,1,0,0,0,1,65,2,6,1,0
